Geolocation,Industry Description,2022 Number of Establishments,2022 Total Employment a/,2022 Paid Employees a/,2022 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/,2022 Total Revenue,2022 Total Expense,2022 Compensation,2022 Other Expense,2022 Gross Additions to Tangible Fixed Assets,2022 Change in Inventories,2022 Sales from E-Commerce Transactions,2022 Subsidies
..Cordillera Administrative Region,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Cordillera Administrative Region,..Radio broadcasting,14,140,139,-,97477,90647,25208,65439,4518,-,-,-
..Cordillera Administrative Region,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Wired telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Cordillera Administrative Region,..Wireless telecommunications activities,c,c,c,c,c,c,c,c,c,c,c,c
..Cordillera Administrative Region,..Satellite telecommunications activities,3,92,92,-,20009,11629,6433,5196,70,-,-,-
..Cordillera Administrative Region,..Other telecommunications activities,8,25,21,-,4404,4721,1852,2869,176,19,-,-
..Cordillera Administrative Region,"..Computer programming, consultancy and related activities",6,316,316,4,194326,153976,84670,69307,1907,1021,-,1000
..Cordillera Administrative Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Ilocos Region,Information and Communication,71,1618,1608,10,4373781,3722384,517301,3205083,6111,-272097,-,-
..Ilocos Region,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Ilocos Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Ilocos Region,..Radio broadcasting,27,263,263,7,156118,123416,41251,82165,3241,-35,-,-
..Ilocos Region,..Television programming and broadcasting activities,4,89,89,-,488408,324212,85867,238344,-,190,-,-
..Ilocos Region,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Ilocos Region,..Satellite telecommunications activities,7,196,196,-,574642,425593,40806,384787,2296,-6,-,-
..Ilocos Region,..Other telecommunications activities,21,297,288,3,233508,215604,54985,160619,575,-80,-,-
..Ilocos Region,"..Computer programming, consultancy and related activities",5,719,719,-,2638321,2453874,270507,2183367,-,-272149,-,-
..Ilocos Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Cagayan Valley,Information and Communication,39,502,495,9,550151,446202,98945,347257,11981,2482,-,4
..Cagayan Valley,"..Publishing of books, periodicals and other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..
..Cagayan Valley,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Cagayan Valley,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Cagayan Valley,..Radio broadcasting,14,163,158,5,73342,48275,27668,20606,487,-23,-,3
..Cagayan Valley,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Satellite telecommunications activities,15,257,257,4,309315,262998,46749,216250,-,3071,-,-
..Cagayan Valley,..Other telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..Cagayan Valley,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Central Luzon,Information and Communication,97,2400,2399,110,5389700,4689609,869098,3820511,820101,-138542,-,2994
..Central Luzon,"..Publishing of books, periodicals and other publishing activities",6,91,91,-,43493,32987,16926,16061,-,-726,-,-
..Central Luzon,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Central Luzon,"..Motion picture, video and television programme activities",8,45,45,6,193689,114947,21495,93453,600,820,-,-
..Central Luzon,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Central Luzon,..Radio broadcasting,15,225,225,6,84501,68160,38770,29390,781,-51,-,1
..Central Luzon,..Television programming and broadcasting activities,..,..,..,..,..,..,..,..,..,..,..,..
..Central Luzon,..Wired telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Central Luzon,..Wireless telecommunications activities,3,51,51,9,31809,19409,8591,10818,-,-6,-,-
..Central Luzon,..Satellite telecommunications activities,26,486,484,40,1743561,1417631,167133,1250498,768241,738,-,-
..Central Luzon,..Other telecommunications activities,15,159,159,20,139961,123807,32380,91427,39380,-603,-,-
..Central Luzon,"..Computer programming, consultancy and related activities",21,604,604,29,2728257,2526113,291414,2234699,10041,-138728,-,-
..Central Luzon,"..Data processing, hosting and related activities; web portals",4,740,740,-,424429,386553,292389,94164,1058,15,-,2992
..Central Luzon,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..CALABARZON,Information and Communication,151,5067,5040,48,5992557,4432761,1184793,3247968,267832,16306,6287,-
..CALABARZON,"..Publishing of books, periodicals and other publishing activities",8,42,35,-,48578,55200,22755,32445,43,-,6287,-
..CALABARZON,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..CALABARZON,"..Motion picture, video and television programme activities",18,136,136,19,752333,464717,98845,365872,-,1569,-,-
..CALABARZON,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..CALABARZON,..Radio broadcasting,16,148,148,-,64916,63469,20951,42518,-,-17,-,-
..CALABARZON,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Wired telecommunications activities,6,256,256,4,336562,308243,75693,232550,7979,288,-,-
..CALABARZON,..Wireless telecommunications activities,3,80,80,-,83546,74712,10027,64685,-,6340,-,-
..CALABARZON,..Satellite telecommunications activities,43,1500,1500,7,2655040,2011128,325638,1685491,47777,8138,-,-
..CALABARZON,..Other telecommunications activities,47,1508,1489,-,645839,541586,259439,282146,43874,-12,-,-
..CALABARZON,"..Computer programming, consultancy and related activities",8,322,322,19,633250,300953,138166,162787,66617,-,-,-
..CALABARZON,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s
..CALABARZON,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,Information and Communication,31,441,420,-,292765,204745,59492,145253,200,-2397,-,5
..MIMAROPA Region,"..Publishing of books, periodicals and other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,"..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,..Radio broadcasting,10,59,59,-,21390,13187,6075,7112,-,-,-,5
..MIMAROPA Region,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,..Wired telecommunications activities,4,116,95,-,115878,35299,16637,18662,-,-4117,-,-
..MIMAROPA Region,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,..Satellite telecommunications activities,11,212,212,-,122455,130524,26304,104220,200,1862,-,-
..MIMAROPA Region,..Other telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..MIMAROPA Region,"..Computer programming, consultancy and related activities",..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA Region,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bicol Region,Information and Communication,100,1236,1223,8,1280245,955605,256811,698794,83551,6276,5552,8600
..Bicol Region,"..Publishing of books, periodicals and other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..
..Bicol Region,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Bicol Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bicol Region,..Radio broadcasting,37,541,539,4,380020,297823,97706,200116,50686,202,-,8600
..Bicol Region,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..Bicol Region,..Wired telecommunications activities,3,171,169,2,298410,155241,33512,121729,24453,-,-,-
..Bicol Region,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bicol Region,..Satellite telecommunications activities,17,239,239,-,133756,154366,26711,127655,3800,11349,-,-
..Bicol Region,..Other telecommunications activities,35,83,73,-,28823,20080,4714,15366,-,-641,-,-
..Bicol Region,"..Computer programming, consultancy and related activities",4,119,119,-,123991,125092,25972,99120,4613,-4677,5552,-
..Bicol Region,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..Bicol Region,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Western Visayas,Information and Communication,100,1694,1676,21,1558592,1209044,396299,812745,34416,-3567,-,-
..Western Visayas,"..Publishing of books, periodicals and other publishing activities",8,91,91,-,36632,55618,8001,47617,-,-,-,-
..Western Visayas,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Western Visayas,"..Motion picture, video and television programme activities",3,12,12,-,64689,33086,9255,23831,-,-,-,-
..Western Visayas,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Western Visayas,..Radio broadcasting,41,561,554,18,415836,288857,118890,169967,5665,-34,-,-
..Western Visayas,..Television programming and broadcasting activities,6,84,84,-,513691,357947,92079,265868,1758,214,-,-
..Western Visayas,..Wired telecommunications activities,4,117,116,-,93604,89792,22847,66944,16793,-2544,-,-
..Western Visayas,..Wireless telecommunications activities,c,c,c,c,c,c,c,c,c,c,c,c
..Western Visayas,..Satellite telecommunications activities,24,640,631,3,346540,307399,94335,213064,10103,-1487,-,-
..Western Visayas,..Other telecommunications activities,6,30,28,-,6539,5627,1769,3858,-,16,-,-
..Western Visayas,"..Computer programming, consultancy and related activities",8,160,160,-,81061,70719,49123,21596,97,269,-,-
..Western Visayas,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..Western Visayas,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Central Visayas,Information and Communication,214,13935,13935,169,19697331,16859000,6401124,10457876,86690,-802760,14453,349962
..Central Visayas,"..Publishing of books, periodicals and other publishing activities",14,785,785,38,761571,723433,393639,329793,872,5291,-,-
..Central Visayas,..Software publishing,3,26,26,4,39196,33403,10257,23147,-,-28,-,-
..Central Visayas,"..Motion picture, video and television programme activities",5,57,57,16,47323,59135,16133,43003,-,-160,-,-
..Central Visayas,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Central Visayas,..Radio broadcasting,39,619,619,4,329568,243964,81520,162444,4181,-9,-,16
..Central Visayas,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Central Visayas,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Central Visayas,..Satellite telecommunications activities,19,478,478,30,1228547,959785,147214,812571,-,176,-,-
..Central Visayas,..Other telecommunications activities,13,101,101,-,53561,41454,17330,24125,-,2888,-,-
..Central Visayas,"..Computer programming, consultancy and related activities",106,10630,10630,57,16104165,13760744,5324924,8435819,73003,-810918,14453,349946
..Central Visayas,"..Data processing, hosting and related activities; web portals",8,1089,1089,3,486263,432014,330495,101519,6736,-,-,-
..Central Visayas,..Other information service activities,3,73,73,1,129957,106815,51427,55388,1898,-,-,-
..Eastern Visayas,Information and Communication,75,2700,2680,3,990026,829676,496822,332854,177964,1043,-,-
..Eastern Visayas,"..Publishing of books, periodicals and other publishing activities",3,10,9,-,5651,3039,1308,1731,-,-6,-,-
..Eastern Visayas,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Eastern Visayas,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Eastern Visayas,..Radio broadcasting,13,85,73,3,58853,45268,21279,23989,3203,-3,-,-
..Eastern Visayas,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Wired telecommunications activities,4,38,35,-,19985,16913,6494,10419,32,-321,-,-
..Eastern Visayas,..Wireless telecommunications activities,c,c,c,c,c,c,c,c,c,c,c,c
..Eastern Visayas,..Satellite telecommunications activities,20,361,356,-,199185,158367,55638,102729,8209,1174,-,-
..Eastern Visayas,..Other telecommunications activities,29,58,58,-,11805,10134,5189,4945,-,139,-,-
..Eastern Visayas,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s
..Eastern Visayas,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Zamboanga Peninsula,Information and Communication,63,518,491,1,618691,549398,101571,447827,5439,-34674,-,5
..Zamboanga Peninsula,"..Publishing of books, periodicals and other publishing activities",s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Zamboanga Peninsula,"..Motion picture, video and television programme activities",3,33,33,-,64377,51998,2264,49734,-,42,-,-
..Zamboanga Peninsula,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Zamboanga Peninsula,..Radio broadcasting,32,177,166,-,151776,134502,33377,101125,2461,-50,-,-
..Zamboanga Peninsula,..Television programming and broadcasting activities,3,41,41,-,24739,18004,5168,12835,417,-16,-,5
..Zamboanga Peninsula,..Wired telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Zamboanga Peninsula,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Zamboanga Peninsula,..Satellite telecommunications activities,10,111,105,1,30400,24485,15102,9383,2560,1156,-,-
..Zamboanga Peninsula,..Other telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Zamboanga Peninsula,"..Computer programming, consultancy and related activities",4,117,116,-,336972,311327,41664,269664,-,-35932,-,-
..Zamboanga Peninsula,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..Zamboanga Peninsula,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Northern Mindanao,Information and Communication,79,1056,1055,105,2286299,1726689,439085,1287604,556215,-1396,-,18396
..Northern Mindanao,"..Publishing of books, periodicals and other publishing activities",4,31,31,-,930724,791642,105701,685941,239057,-6852,-,-
..Northern Mindanao,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Northern Mindanao,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Northern Mindanao,..Radio broadcasting,35,315,315,104,529200,416397,145263,271134,25142,-46,-,6
..Northern Mindanao,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,..Wired telecommunications activities,c,c,c,c,c,c,c,c,c,c,c,c
..Northern Mindanao,..Wireless telecommunications activities,3,102,102,-,22629,33393,24163,9230,-,694,-,18390
..Northern Mindanao,..Satellite telecommunications activities,6,288,288,-,411797,245376,87475,157901,288800,4808,-,-
..Northern Mindanao,..Other telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Northern Mindanao,"..Computer programming, consultancy and related activities",8,220,219,1,168081,80982,47217,33765,2590,-,-,-
..Northern Mindanao,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..Northern Mindanao,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Davao Region,Information and Communication,80,858,847,19,4790511,4458611,545052,3913560,3183,-66845,-,8
..Davao Region,"..Publishing of books, periodicals and other publishing activities",7,76,76,9,81193,74468,16206,58261,92,4326,-,-
..Davao Region,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Davao Region,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Davao Region,..Radio broadcasting,18,196,194,5,448968,363883,71985,291898,3061,-96360,-,5
..Davao Region,..Television programming and broadcasting activities,3,33,33,-,34773,20731,6188,14543,-,-,-,3
..Davao Region,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Davao Region,..Satellite telecommunications activities,8,139,139,1,81503,58891,21832,37059,-,1729,-,-
..Davao Region,..Other telecommunications activities,17,62,62,4,46176,27550,6636,20914,-,-167,-,-
..Davao Region,"..Computer programming, consultancy and related activities",22,299,290,-,2763102,2720359,240715,2479644,-,887,-,-
..Davao Region,"..Data processing, hosting and related activities; web portals",s,s,s,s,s,s,s,s,s,s,s,s
..Davao Region,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..SOCCSKSARGEN,Information and Communication,71,1299,1289,13,885261,775341,215779,559562,22274,44488,-,29
..SOCCSKSARGEN,"..Publishing of books, periodicals and other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..
..SOCCSKSARGEN,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..SOCCSKSARGEN,"..Motion picture, video and television programme activities",s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..SOCCSKSARGEN,..Radio broadcasting,32,255,255,8,235543,192209,83698,108510,4649,112,-,5
..SOCCSKSARGEN,..Television programming and broadcasting activities,3,132,132,-,85221,45642,15254,30387,-,-,-,24
..SOCCSKSARGEN,..Wired telecommunications activities,4,645,645,2,392867,376696,83102,293595,12612,44437,-,-
..SOCCSKSARGEN,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..SOCCSKSARGEN,..Satellite telecommunications activities,8,113,113,2,78195,72555,20179,52376,-,-261,-,-
..SOCCSKSARGEN,..Other telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s
..SOCCSKSARGEN,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..SOCCSKSARGEN,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Caraga,Information and Communication,39,468,468,7,305946,230198,65267,164931,110147,581,-,-
..Caraga,"..Publishing of books, periodicals and other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..
..Caraga,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Caraga,"..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..
..Caraga,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Caraga,..Radio broadcasting,25,179,179,-,105997,92299,27384,64915,13693,207,-,-
..Caraga,..Television programming and broadcasting activities,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Wired telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Wireless telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Satellite telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,..Other telecommunications activities,3,13,13,-,5093,3297,579,2719,1141,-,-,-
..Caraga,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s
..Caraga,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..Caraga,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,Information and Communication,18,142,140,5,194071,173185,32846,140339,20048,-774,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,"..Publishing of books, periodicals and other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,..Software publishing,..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,"..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,..Sound recording and music publishing activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,..Radio broadcasting,8,55,53,3,50885,41146,16913,24233,695,-,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Television programming and broadcasting activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,..Wired telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,..Wireless telecommunications activities,..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,..Satellite telecommunications activities,5,61,61,2,81252,71155,9517,61638,15448,-491,-,-
..Bangsamoro Autonomous Region in Muslim Mindanao,..Other telecommunications activities,s,s,s,s,s,s,s,s,s,s,s,s
..Bangsamoro Autonomous Region in Muslim Mindanao,"..Computer programming, consultancy and related activities",s,s,s,s,s,s,s,s,s,s,s,s
..Bangsamoro Autonomous Region in Muslim Mindanao,"..Data processing, hosting and related activities; web portals",..,..,..,..,..,..,..,..,..,..,..,..
..Bangsamoro Autonomous Region in Muslim Mindanao,..Other information service activities,..,..,..,..,..,..,..,..,..,..,..,..
